iter	Passed	Remaining
409	3612	18417
410	3620	18402
411	3634	18418
412	3643	18414
413	3654	18412
414	3663	18407
415	3671	18393
416	3680	18386
417	3689	18375
418	3697	18365
419	3708	18365
420	3718	18362
421	3725	18346
422	3734	18334
423	3740	18315
424	3750	18312
425	3757	18292
426	3765	18281
427	3772	18264
428	3781	18253
429	3787	18234
430	3795	18219
431	3802	18203
432	3811	18192
433	3818	18176
434	3826	18163
435	3833	18148
436	3840	18132
437	3848	18117
438	3856	18104
439	3864	18095
440	3874	18090
441	3881	18074
442	3891	18068
443	3897	18049
444	3906	18039
445	3916	18034
446	3924	18024
447	3931	18005
448	3939	17995
449	3947	17981
450	3956	17975
451	3965	17966
452	3973	17953
453	3980	17936
454	3988	17927
455	3996	17912
456	4004	17900
457	4010	17882
458	4018	17869
459	4025	17852
460	4032	17836
461	4040	17823
462	4047	17807
463	4055	17796
464	4063	17783
465	4072	17773
466	4078	17756
467	4088	17751
468	4096	17740
469	4105	17733
470	4114	17723
471	4123	17715
472	4131	17705
473	4139	17694
474	4147	17680
475	4154	17666
476	4160	17646
477	4169	17637
478	4176	17622
479	4184	17610
480	4191	17594
481	4199	17581
482	4207	17570
483	4215	17557
484	4222	17542
485	4230	17530
486	4237	17513
487	4246	17509
488	4254	17494
489	4263	17488
490	4271	17478
491	4279	17467
492	4287	17454
493	4296	17445
494	4304	17435
495	4313	17429
496	4321	17414
497	4328	17402
498	4338	17396
499	4347	17389
500	4355	17376
501	4364	17372
502	4375	17369
503	4382	17356
504	4392	17353
505	4400	17342
506	4410	17336
507	4418	17326
508	4429	17327
509	4444	17340
510	4462	17368
511	4474	17374
512	4492	17399
513	4515	17448
514	4530	17461
515	4543	17468
516	4556	17478
517	4568	17479
518	4582	17489
519	4593	17492
520	4608	17503
521	4617	17497
522	4627	17492
523	4636	17485
524	4646	17478
525	4657	17478
526	4665	17466
527	4674	17458
528	4682	17447
529	4693	17445
530	4701	17433
531	4709	17421
532	4718	17414
533	4725	17399
534	4735	17392
535	4743	17381
536	4752	17374
537	4760	17361
538	4769	17353
539	4779	17347
540	4786	17333
541	4794	17321
542	4803	17310
543	4810	17297
544	4818	17285
545	4825	17268
546	4833	17257
547	4841	17244
548	4848	17231
549	4857	17223
550	4867	17216
551	4874	17203
552	4882	17191
553	4890	17178
554	4899	17172
555	4907	17159
556	4915	17147
557	4925	17141
558	4933	17131
559	4941	17118
560	4948	17104
561	4955	17088
562	4965	17083
563	4972	17068
564	4981	17060
565	4991	17054
566	5001	17050
567	5010	17042
568	5017	17026
569	5026	17017
570	5034	17006
571	5042	16996
572	5052	16990
573	5060	16980
574	5068	16966
575	5077	16960
576	5084	16945
577	5093	16935
578	5101	16925
579	5111	16921
580	5119	16909
581	5127	16896
582	5135	16886
583	5144	16878
584	5154	16872
585	5162	16862
586	5177	16871
587	5185	16862
588	5192	16848
589	5201	16840
590	5209	16828
591	5217	16815
592	5226	16806
593	5234	16795
594	5242	16783
595	5250	16773
596	5257	16757
597	5264	16745
598	5272	16734
599	5280	16722
600	5288	16711
601	5296	16699
602	5306	16695
603	5315	16684
604	5323	16673
605	5331	16663
606	5340	16653
607	5349	16647
608	5357	16636
609	5365	16625
610	5374	16614
611	5383	16607
612	5390	16593
613	5400	16586
614	5406	16571
615	5416	16565
616	5424	16554
617	5432	16545
618	5440	16532
619	5448	16522
620	5455	16508
621	5463	16496
622	5470	16481
623	5478	16471
624	5486	16458
625	5494	16448
626	5500	16432
627	5509	16423
628	5518	16414
629	5527	16405
630	5534	16393
631	5543	16383
632	5551	16373
633	5560	16366
634	5568	16356
635	5577	16346
636	5585	16334
637	5593	16325
638	5601	16314
639	5611	16307
640	5618	16295
641	5626	16284
642	5634	16271
643	5641	16258
644	5648	16244
645	5655	16230
646	5662	16217
647	5670	16207
648	5677	16193
649	5685	16181
650	5693	16171
651	5701	16159
652	5710	16151
653	5716	16136
654	5726	16130
655	5734	16118
656	5742	16108
657	5749	16095
658	5758	16087
659	5767	16078
660	5778	16077
661	5789	16075
662	5798	16066
663	5807	16058
664	5816	16051
665	5825	16041
666	5833	16030
667	5840	16018
668	5848	16007
669	5855	15993
670	5863	15981
671	5870	15967
672	5877	15955
673	5885	15943
674	5891	15929
675	5899	15918
676	5906	15905
677	5916	15898
678	5924	15888
679	5932	15878
680	5941	15869
681	5949	15859
682	5958	15850
683	5968	15845
684	5975	15832
685	5984	15823
686	5991	15811
687	5999	15801
688	6007	15790
689	6016	15781
690	6024	15770
691	6031	15759
692	6039	15748
693	6048	15740
694	6055	15727
695	6064	15718
696	6071	15705
697	6079	15696
698	6086	15682
699	6095	15673
700	6102	15662
701	6112	15655
702	6119	15643
703	6128	15634
704	6136	15624
705	6145	15615
706	6153	15606
707	6162	15598
708	6170	15587
709	6180	15581
710	6188	15571
711	6196	15561
712	6204	15549
713	6211	15538
714	6218	15525
715	6226	15514
716	6234	15502
717	6246	15502
718	6253	15491
719	6260	15478
720	6267	15464
721	6275	15455
722	6283	15442
723	6292	15434
724	6299	15422
725	6308	15415
726	6315	15401
727	6324	15393
728	6331	15380
729	6341	15375
730	6350	15368
731	6360	15362
732	6369	15354
733	6378	15347
734	6388	15341
735	6395	15328
736	6403	15319
737	6411	15306
738	6420	15299
739	6428	15288
740	6437	15282
741	6445	15270
742	6453	15261
743	6461	15250
744	6469	15240
745	6477	15229
746	6485	15219
747	6493	15210
748	6502	15201
749	6510	15191
750	6518	15181
751	6526	15169
752	6535	15161
753	6542	15149
754	6551	15141
755	6558	15130
756	6566	15119
757	6574	15108
758	6584	15102
759	6591	15091
760	6601	15085
761	6611	15080
762	6618	15068
763	6625	15055
764	6634	15046
765	6644	15040
766	6654	15034
767	6662	15025
768	6669	15013
769	6677	15003
770	6685	14991
771	6693	14982
772	6701	14972
773	6710	14965
774	6717	14951
775	6725	14941
776	6732	14930
777	6741	14920
778	6750	14913
779	6759	14905
780	6767	14894
781	6776	14887
782	6786	14882
783	6797	14879
784	6808	14875
785	6819	14870
786	6826	14859
787	6833	14846
788	6842	14838
789	6849	14826
790	6860	14821
791	6867	14811
792	6876	14801
793	6882	14787
794	6890	14778
795	6898	14768
796	6907	14758
797	6914	14747
798	6923	14740
799	6930	14728
800	6939	14718
801	6946	14707
802	6955	14698
803	6962	14686
804	6971	14678
805	6978	14667
806	6988	14660
807	6997	14653
808	7007	14646
809	7015	14636
810	7024	14629
811	7032	14618
812	7039	14606
813	7046	14594
814	7055	14587
815	7064	14578
816	7072	14568
817	7081	14560
818	7088	14550
819	7096	14539
820	7103	14527
821	7111	14516
822	7119	14507
823	7127	14496
824	7134	14485
825	7142	14475
826	7150	14466
827	7159	14456
828	7167	14446
829	7175	14437
830	7184	14430
831	7192	14418
832	7200	14409
833	7210	14402
834	7219	14395
835	7227	14385
836	7235	14375
837	7244	14368
838	7251	14355
839	7259	14345
840	7268	14338
841	7276	14328
842	7284	14317
843	7292	14308
844	7300	14297
845	7308	14288
846	7316	14278
847	7323	14266
848	7331	14257
849	7339	14247
850	7347	14238
851	7355	14227
852	7363	14217
853	7371	14208
854	7378	14196
855	7386	14185
856	7395	14178
857	7404	14171
858	7416	14167
859	7425	14160
860	7433	14150
861	7442	14142
862	7450	14132
863	7459	14124
864	7467	14113
865	7476	14107
866	7483	14094
867	7491	14084
868	7497	14071
869	7506	14063
870	7514	14053
871	7522	14044
872	7529	14032
873	7538	14023
874	7545	14012
875	7553	14003
876	7562	13994
877	7571	13986
878	7579	13977
879	7587	13968
880	7594	13956
881	7602	13946
882	7611	13939
883	7624	13937
884	7636	13935
885	7645	13926
886	7655	13921
887	7665	13915
888	7675	13908
889	7684	13902
890	7693	13893
891	7701	13884
892	7709	13873
893	7717	13864
894	7724	13853
895	7735	13847
896	7743	13838
897	7753	13831
898	7763	13826
899	7772	13818
900	7781	13809
901	7789	13799
902	7797	13790
903	7805	13781
904	7816	13775
905	7824	13765
906	7834	13760
907	7844	13753
908	7852	13744
909	7861	13735
910	7870	13727
911	7879	13720
912	7887	13710
913	7896	13702
914	7904	13693
915	7912	13683
916	7921	13674
917	7931	13668
918	7940	13659
919	7948	13651
920	7958	13645
921	7967	13636
922	7977	13630
923	7985	13620
924	7995	13614
925	8005	13607
926	8013	13597
927	8022	13589
928	8029	13578
929	8040	13574
930	8048	13564
931	8060	13560
932	8066	13548
933	8075	13539
934	8082	13527
935	8090	13519
936	8099	13509
937	8107	13500
938	8114	13489
939	8121	13479
940	8129	13468
941	8138	13460
942	8146	13450
943	8154	13440
944	8161	13430
945	8172	13424
946	8179	13413
947	8187	13404
948	8195	13393
949	8205	13387
950	8213	13378
951	8222	13370
952	8234	13367
953	8246	13364
954	8255	13356
955	8266	13350
956	8273	13339
957	8281	13330
958	8290	13321
959	8297	13310
960	8305	13300
961	8316	13296
962	8324	13286
963	8336	13283
964	8347	13277
965	8356	13270
966	8368	13266
967	8376	13257
968	8387	13251
969	8398	13247
970	8408	13239
971	8418	13234
972	8428	13227
973	8437	13218
974	8448	13214
975	8460	13211
976	8471	13205
977	8482	13201
978	8493	13195
979	8502	13188
980	8513	13183
981	8523	13175
982	8533	13169
983	8544	13164
984	8553	13156
985	8564	13150
986	8574	13143
987	8583	13135
988	8594	13130
989	8604	13124
990	8614	13117
991	8626	13112
992	8635	13105
993	8647	13101
994	8659	13097
995	8670	13092
996	8679	13084
997	8689	13077
998	8698	13069
999	8708	13063
1000	8717	13054
1001	8727	13047
1002	8737	13040
1003	8745	13031
1004	8756	13026
1005	8765	13017
1006	8774	13009
1007	8786	13006
1008	8795	12997
1009	8805	12990
1010	8814	12981
1011	8823	12973
1012	8832	12965
1013	8840	12955
1014	8850	12949
1015	8858	12938
1016	8870	12935
1017	8881	12929
1018	8889	12920
1019	8900	12913
1020	8912	12910
1021	8929	12913
1022	8941	12910
1023	8956	12909
1024	8970	12908
1025	8981	12903
1026	8993	12898
1027	9005	12894
1028	9018	12893
1029	9031	12888
1030	9039	12879
1031	9051	12875
1032	9063	12871
1033	9072	12862
1034	9083	12857
1035	9093	12850
1036	9101	12840
1037	9112	12834
1038	9121	12826
1039	9133	12822
1040	9145	12818
1041	9157	12813
1042	9166	12805
1043	9179	12801
1044	9188	12793
1045	9198	12786
1046	9209	12781
1047	9218	12771
1048	9229	12766
1049	9242	12763
1050	9251	12754
1051	9263	12750
1052	9274	12744
1053	9282	12734
1054	9295	12731
1055	9307	12726
1056	9314	12716
1057	9324	12709
1058	9332	12698
1059	9342	12691
1060	9353	12686
1061	9361	12675
1062	9371	12668
1063	9380	12659
1064	9389	12652
1065	9398	12642
1066	9406	12633
1067	9415	12623
1068	9422	12613
1069	9430	12602
1070	9438	12593
1071	9446	12583
1072	9455	12574
1073	9463	12564
1074	9471	12555
1075	9480	12546
1076	9488	12536
1077	9496	12526
1078	9504	12516
1079	9513	12508
1080	9520	12497
1081	9532	12493
1082	9550	12495
1083	9568	12498
1084	9587	12503
1085	9608	12510
1086	9626	12512
1087	9639	12509
1088	9654	12508
1089	9671	12510
1090	9684	12507
1091	9696	12502
1092	9709	12498
1093	9719	12491
1094	9731	12486
1095	9743	12481
1096	9754	12475
1097	9767	12471
1098	9778	12465
1099	9785	12454
1100	9794	12445
1101	9803	12437
1102	9812	12428
1103	9821	12418
1104	9830	12410
1105	9840	12403
1106	9848	12393
1107	9857	12384
1108	9865	12373
1109	9875	12366
1110	9882	12355
1111	9892	12348
1112	9901	12339
1113	9910	12330
1114	9917	12318
1115	9927	12310
1116	9935	12301
1117	9944	12293
1118	9952	12283
1119	9960	12272
1120	9969	12263
1121	9977	12253
1122	9985	12244
1123	9992	12233
1124	10001	12224
1125	10009	12214
1126	10017	12204
1127	10025	12194
1128	10033	12183
1129	10041	12173
1130	10050	12165
1131	10058	12155
1132	10068	12147
1133	10075	12137
1134	10086	12130
1135	10094	12120
